Window_ID,NewsYR/SongYR,N_in_both,words_in_both
1,2001/2001,1,space
1,2001/2002,1,woman
1,2001/2003,0,-
1,2001/2004,1,burn
1,2001/2005,0,-
2,2002/2002,0,-
2,2002/2003,0,-
2,2002/2004,0,-
2,2002/2005,0,-
2,2002/2006,3,california|knew|lay
3,2003/2003,0,-
3,2003/2004,1,life
3,2003/2005,2,de|soldier
3,2003/2006,0,-
3,2003/2007,3,de|north|party
4,2004/2004,0,-
4,2004/2005,1,september
4,2004/2006,0,-
4,2004/2007,0,-
4,2004/2008,0,-
5,2005/2005,0,-
5,2005/2006,1,sugar
5,2005/2007,2,arm|north
5,2005/2008,0,-
5,2005/2009,4,arm|game|hotel|sugar
6,2006/2006,0,-
6,2006/2007,0,-
6,2006/2008,1,bill
6,2006/2009,1,holiday
6,2006/2010,1,drug
7,2007/2007,3,head|north|summer
7,2007/2008,2,dance|summer
7,2007/2009,2,dance|fire
7,2007/2010,2,head|king
7,2007/2011,1,dance
8,2008/2008,0,-
8,2008/2009,1,game
8,2008/2010,2,drug|secret
8,2008/2011,0,-
8,2008/2012,1,right
9,2009/2009,1,gun
9,2009/2010,1,drug
9,2009/2011,0,-
9,2009/2012,2,hear|long
9,2009/2013,1,highway
10,2010/2010,2,better|young
10,2010/2011,4,better|black|friday|move
10,2010/2012,3,city|international|move
10,2010/2013,3,age|money|team
10,2010/2014,1,age
11,2011/2011,3,floor|light|run
11,2011/2012,2,light|run
11,2011/2013,2,light|team
11,2011/2014,1,rule
11,2011/2015,0,-
12,2012/2012,1,talk
12,2012/2013,2,moment|wait
12,2012/2014,0,-
12,2012/2015,3,better|gun|ny
13,2013/2013,1,fire
13,2013/2014,1,fire
13,2013/2015,4,change|face|fire|motion
14,2014/2014,0,-
14,2014/2015,0,-
15,2015/2015,1,house
